"type","name","res_id","src","value "
"model","account.account,name",21,"Grabados juanjo, sl",
"model","account.account,name",4925,"Catalana de gas",
"model","account.account,name",2765,"Catalana de gas",
"model","account.account,name",1518,"Copiservi valles,sl",
"model","account.account,name",4926,"Castellet farres jordi",
"model","account.account,name",22,"Vall i rimblas ramon (est",
"model","account.account,name",2766,"Castellet farres jordi",
"model","account.account,name",1519,"Benito gallardo lopez-hid",
"model","account.account,name",4927,"Brugues sa",
"model","account.account,name",23,"Valle industrial, s.a.",
"model","account.account,name",2767,"Brugues sa",
"model","account.account,name",1520,"Instal.lacions pirineos, ",
"model","account.account,name",24,"Abrasivos y maquinaria, s",
"model","account.account,name",1521,"Inforgest informatica sl",
"model","account.account,name",4928,"Llia de juan rodriguez mo",
"model","account.account,name",2768,"Llia de juan rodriguez mo",
"model","account.account,name",25,"Ofysat, sl",
"model","account.account,name",1522,"Inst.navarro ruiz juan ca",
"model","account.account,name",4929,"Casamada,ezequiel",
"model","account.account,name",2769,"Casamada ezequiel",
"model","account.account,name",26,"Ttc lluis carreras vendre",
"model","account.account,name",1523,"Ddm-distrib.de dispos.mag",
"model","account.account,name",4930,"Casanovas enrich jose m.,",
"model","account.account,name",2770,"Casanovas enrich jose mar",
"model","account.account,name",1524,"Air liquide españa, sa",
"model","account.account,name",27,"Llonch codina & associats",
"model","account.account,name",4931,"Herramientas de corte y m",
"model","account.account,name",2771,"Herramientas de corte y m",
"model","account.account,name",1525,"Teser assessors, sl",
"model","account.account,name",28,"Banco de sabadell, sa",
"model","account.account,name",4932,"Endesa distribucion elect",
"model","account.account,name",2772,"Endesa distribucion elect",
"model","account.account,name",1526,"Ros casares fco., sl",
"model","account.account,name",29,"Maderas del alto urgel, s",
"model","account.account,name",4933,"Hotel palacio de aiete sl",
"model","account.account,name",2773,"Hotel palacio de aiete, s",
"model","account.account,name",1527,"Euroembalaje, s.a.",
"model","account.account,name",30,"Manuel campoy e hijos s.l",
"model","account.account,name",4934,"Colomer, sl prod. quim.",
"model","account.account,name",2774,"Colomer sl, prod.quim.",
"model","account.account,name",1528,"Adiquimica, s.a.",
"model","account.account,name",31,"Suminist.integrales de of",
"model","account.account,name",4935,"Comercial del caucho",
"model","account.account,name",2775,"Comercial del caucho",
"model","account.account,name",1529,"Cat-preymer, s.a.(prod.qu",
"model","account.account,name",32,"Carburos metalicos, s.a.",
"model","account.account,name",1530,"Cialven, sl",
"model","account.account,name",33,"Central balart i badia sl",
"model","account.account,name",4936,"Cambra de comerç de giron",
"model","account.account,name",2776,"Sule sole ampara (suminis",
"model","account.account,name",1531,"M.r.mata, sl (neumatics)",
"model","account.account,name",34,"Catalana de gas, s.a.",
"model","account.account,name",4937,"Especialidades metalicas,",
"model","account.account,name",2777,"Especialidades metalicas ",
"model","account.account,name",1532,"Lorra, sa",
"model","account.account,name",35,"Ferrolan alanta sa",
"model","account.account,name",36,"Ortiz vendrell j.m.",
"model","account.account,name",4938,"Dicor t.,s.l.",
"model","account.account,name",2778,"Dicor t., s.l.",
"model","account.account,name",1533,"Poltercar, sl",
"model","account.account,name",37,"Trust-publicitat i comuni",
"model","account.account,name",4939,"Eleve, s.l.",
"model","account.account,name",2779,"Eleve sl",
"model","account.account,name",1534,"Nifa, sl",
"model","account.account,name",38,"Provençana de consulting,",
"model","account.account,name",4940,"Alcocer centro de formaci",
"model","account.account,name",2780,"Alcocer centro de formaci",
"model","account.account,name",1535,"Muropri, sl",
